Num,Latitude,Longitude
213,37.52066,126.791756
214,37.497426,126.785565
215,37.511266,126.76662
216,37.510297,126.780145
217,37.500402,126.770369
218,37.500729,126.784171
219,37.488593,126.790464
220,37.49783,126.786765
221,37.437603,126.694247
222,37.443664,126.709885
223,37.45492,126.726312
224,37.465596,126.668631
225,37.455148,126.7117
226,37.453433,126.692831
227,37.447618,126.690963
228,37.44914,126.714226
229,37.456216,126.692507
230,37.446848,126.706809
231,37.445004,126.695848
232,37.454312,126.69821
233,37.456691,126.680925
234,37.467458,126.711903
235,37.453549,126.718416
236,37.466436,126.709601
237,37.463124,126.707048
238,37.459218,126.700374
239,37.440042,126.699841
240,37.462578,126.71759
241,37.454451,126.679624
242,37.427875,126.697432
243,37.47328,126.696294
244,37.461795,126.717073
245,37.431478,126.704703
246,37.421098,126.678397
247,37.452732,126.71618
248,37.45985,126.720855
249,37.460762,126.725597
250,37.436976,126.705874
251,37.470674,126.685305
252,37.448996,126.729981
253,37.435845,126.723731
254,37.441645,126.690825
255,37.443861,126.703927
256,37.455063,126.717592
257,37.464192,126.682548
258,37.441848,126.708204
259,37.469836,126.715303
260,37.441667,126.70727
261,37.45974,126.711331
262,37.455005,126.695827
263,37.444965,126.704498
264,37.454508,126.689869
265,37.45271,126.702246
266,37.466493,126.720843
267,37.478117,126.711972
268,37.457809,126.720272
269,37.443994,126.709834
270,37.43983,126.690915
271,37.466549,126.728723
272,37.458169,126.695456
273,37.452595,126.704746
274,37.450241,126.695912
275,37.456194,126.703863
276,37.455147,126.725314
277,37.45577,126.701333
278,37.456869,126.718565
279,37.461663,126.714994
280,37.44301,126.724391
281,37.472084,126.701857
282,37.472481,126.679151
283,37.450129,126.678462
284,37.445646,126.719606
285,37.466979,126.717389
286,37.452546,126.699365
287,37.469158,126.717195
288,37.458338,126.695247
289,37.433869,126.695206
290,37.442617,126.711923
291,37.452939,126.696526
292,37.464433,126.696916
293,37.462804,126.697018
294,37.466921,126.697276
295,37.448453,126.703258
296,37.463514,126.697901
297,37.476196,126.696612
298,37.457443,126.691312
299,37.449878,126.71402
300,37.44838,126.708997
301,37.377829,126.72543
302,37.38498,126.712536
303,37.372045,126.720451
304,37.35417,126.764365
305,37.381891,126.728465
306,37.388374,126.72589
307,37.411324,126.72786
308,37.363028,126.708958
309,37.401664,126.742779
310,37.376306,126.72989
311,37.373162,126.716341
312,37.356864,126.734686
313,37.376029,126.738126
314,37.382128,126.739813
315,37.390286,126.720748
316,37.405818,126.711133
317,37.377538,126.72466
318,37.38131,126.718372
319,37.391295,126.731629
320,37.39387,126.709728
321,37.39183,126.713366
322,37.382228,126.72654
323,37.400447,126.731045
324,37.386913,126.716213
325,37.370521,126.700372
326,37.375252,126.723269
327,37.394631,126.723519
328,37.380497,126.719359
329,37.385884,126.725453
330,37.37702,126.71792
331,37.379869,126.731935
332,37.388417,126.722299
333,37.38437,126.710797
334,37.382593,126.719307
335,37.392747,126.689959
336,37.378868,126.74087
337,37.388607,126.750629
338,37.364375,126.708557
339,37.384949,126.722371
340,37.393177,126.73712
341,37.391703,126.719312
342,37.378129,126.704076
343,37.37768,126.706218
344,37.402675,126.713651
345,37.385206,126.690832
346,37.368595,126.746545
347,37.394165,126.711292
348,37.361819,126.70094
349,37.364207,126.693024
350,37.387551,126.716021
351,37.352597,126.729519
352,37.362184,126.706703
353,37.371458,126.71092
354,37.389193,126.728637
355,37.402616,126.712171
356,37.389195,126.750612
357,37.381001,126.690732
358,37.369855,126.714268
359,37.423339,126.704552
360,37.371679,126.722178
361,37.332306,126.712776
362,37.341331,126.709009
363,37.324366,126.712698
364,37.327753,126.719236
365,37.350298,126.715025
366,37.340872,126.712683
367,37.352776,126.702022
368,37.332907,126.707963
369,37.344459,126.700152
370,37.348876,126.714405
371,37.337353,126.716432
